Unnamed: 0,index,Month,BG,BN,BV,SG,SN,SV,SMB,HML
176,176,2016-03,11.285,11.958,12.583,4.437,7.413,3.838,-6.713,0.35
177,177,2016-04,4.728,7.555,7.499,4.81,8.857,7.443,0.442,2.702
178,178,2016-05,-0.346,-0.103,-1.822,-1.52,-0.408,-1.257,-0.305,-0.607
179,179,2016-06,4.908,7.127,12.715,8.348,7.45,8.402,-0.183,3.931
180,180,2016-07,3.624,4.93,4.517,3.85,5.594,5.152,0.508,1.098
181,181,2016-08,1.602,3.275,-1.4,-0.674,1.427,0.736,-0.663,-0.796
182,182,2016-09,1.005,0.482,-0.68,2.121,3.337,3.752,2.801,-0.027
183,183,2016-10,5.904,9.721,12.1,13.442,16.243,16.611,6.19,4.683
184,184,2016-11,-8.413,-8.316,-10.318,-6.954,-7.707,-6.225,2.054,-0.588
185,185,2016-12,-1.656,-1.934,-2.121,1.097,-0.13,1.097,2.592,-0.233
186,186,2017-01,6.093,9.096,11.43,7.417,9.2,8.533,-0.49,3.226
187,187,2017-02,4.023,4.974,8.24,0.968,1.968,2.245,-4.018,2.747
188,188,2017-03,4.14,5.796,3.96,-1.759,3.584,1.219,-3.617,1.399
189,189,2017-04,4.676,7.172,8.181,7.514,9.113,10.926,2.508,3.458
190,190,2017-05,-2.259,-2.474,-9.406,-3.228,-4.066,-5.155,0.564,-4.536
191,191,2017-06,1.517,1.543,2.74,-0.348,2.916,-0.408,-1.214,0.582
192,192,2017-07,3.306,6.108,10.976,4.845,5.33,6.073,-1.381,4.449
193,193,2017-08,-1.827,0.379,-3.965,-4.06,-2.374,-3.55,-1.523,-0.814
194,194,2017-09,0.476,1.7,-0.943,-0.291,1.482,3.876,1.278,1.374
195,195,2017-10,7.393,12.024,13.421,7.668,12.441,8.67,-1.353,3.515
196,196,2017-11,4.302,3.353,-0.944,4.074,6.009,7.567,3.646,-0.877
197,197,2017-12,6.241,5.736,15.464,6.586,9.333,10.366,-0.385,6.501
198,198,2018-01,-2.755,-1.593,-6.306,2.209,-0.727,0.996,4.377,-2.382
199,199,2018-02,-3.006,-3.721,-10.28,-4.833,-4.01,-5.557,0.869,-3.998
200,200,2018-03,-5.624,-9.086,-17.101,-10.569,-10.169,-10.628,0.148,-5.768
201,201,2018-04,6.973,8.748,5.084,4.483,8.91,7.195,-0.072,0.411
202,202,2018-05,-6.53,-7.153,-9.992,-6.145,-7.434,-5.355,1.58,-1.336
203,203,2018-06,-6.257,-7.79,-11.227,-8.654,-8.516,-6.76,0.448,-1.538
204,204,2018-07,3.688,2.852,1.362,-0.518,2.245,0.045,-2.044,-0.882
205,205,2018-08,3.218,5.096,4.118,3.588,4.091,2.885,-0.622,0.099
206,206,2018-09,-13.556,-13.934,-20.006,-7.348,-10.16,-8.933,7.019,-4.017
207,207,2018-10,-2.382,-1.154,1.704,-4.244,-1.626,-1.147,-1.728,3.592
208,208,2018-11,1.523,0.499,3.532,0.503,1.454,2.412,-0.395,1.959
209,209,2018-12,2.336,0.884,2.6,1.788,0.702,1.019,-0.771,-0.252
210,210,2019-01,-6.087,-7.618,-10.138,-5.529,-6.015,-4.788,2.504,-1.655
211,211,2019-02,-1.824,-2.068,-9.64,-5.965,-5.74,-3.784,-0.652,-2.818
212,212,2019-03,7.777,10.503,8.886,4.208,4.539,3.145,-5.092,0.023
213,213,2019-04,-1.682,-3.127,-5.61,-1.425,-0.415,1.107,3.229,-0.698
214,214,2019-05,0.358,2.529,-2.667,-1.429,0.134,-1.266,-0.927,-1.431
215,215,2019-06,-4.302,-6.846,-14.159,-5.907,-8.09,-7.862,1.149,-5.906
216,216,2019-07,-11.334,-12.484,-16.916,-9.956,-10.803,-9.631,3.448,-2.628
217,217,2019-08,-0.048,-3.878,-3.925,-2.809,-2.071,-2.463,0.169,-1.765
218,218,2019-09,5.938,5.704,4.232,3.032,5.492,4.302,-1.016,-0.218
219,219,2019-10,2.304,0.817,-2.695,-1.66,-1.316,-3.144,-2.182,-3.242
220,220,2019-11,-0.772,-0.828,0.832,2.454,-1.97,1.565,0.939,0.358
221,221,2019-12,0.539,0.246,-2.48,3.753,0.706,0.349,2.167,-3.212
222,222,2020-01,5.265,4.385,0.897,3.408,5.05,6.044,1.318,-0.866
223,223,2020-02,-6.099,-11.316,-15.082,-5.003,-8.189,-8.703,3.534,-6.342
224,224,2020-03,-28.675,-33.988,-33.828,-16.628,-21.203,-20.051,12.87,-4.288
225,225,2020-04,16.391,23.795,31.15,13.225,15.73,16.683,-8.566,9.108
226,226,2020-05,-0.739,-3.02,-7.953,2.257,-0.643,2.48,5.268,-3.496
227,227,2020-06,15.001,22.59,40.186,23.557,19.348,28.607,-2.088,15.118
228,228,2020-07,5.023,3.763,-0.49,1.668,1.009,-2.812,-2.81,-4.996
229,229,2020-08,10.717,14.011,18.031,10.41,14.03,14.882,-1.146,5.893
230,230,2020-09,2.51,-0.876,-3.02,-0.889,-0.051,-1.313,-0.289,-2.977
231,231,2020-10,0.364,0.362,2.54,-1.071,0.935,0.758,-0.882,2.002
232,232,2020-11,10.928,14.555,14.18,6.766,9.172,9.826,-4.633,3.156
233,233,2020-12,7.878,11.801,19.125,16.219,13.523,21.703,4.214,8.365
234,234,2021-01,0.181,0.597,-0.348,2.277,1.576,4.106,2.51,0.65
235,235,2021-02,8.532,11.524,18.308,4.188,6.93,7.899,-6.449,6.744
236,236,2021-03,1.254,0.528,0.03,-0.54,-0.974,-0.306,-1.211,-0.495
237,237,2021-04,5.001,6.805,7.277,8.881,8.407,6.772,1.659,0.083
238,238,2021-05,10.677,12.904,19.097,15.872,16.947,19.599,3.247,6.073
239,239,2021-06,6.738,9.692,9.987,17.258,14.561,18.933,8.112,2.462
240,240,2021-07,6.09,10.326,5.14,15.64,14.405,16.488,8.326,-0.051
241,241,2021-08,-0.432,-4.991,-8.636,-1.046,-3.781,-5.489,1.248,-6.323
242,242,2021-09,4.484,7.675,12.374,6.147,5.977,9.921,-0.829,5.832
243,243,2021-10,0.384,0.185,0.96,5.184,2.494,5.798,3.982,0.595
244,244,2021-11,-1.147,-3.442,-4.222,5.054,0.75,6.664,7.093,-0.732
245,245,2021-12,5.96,4.601,4.647,21.676,18.398,24.26,16.376,0.636
246,246,2022-01,-0.797,4.091,5.365,7.305,8.465,10.549,5.887,4.703
247,247,2022-02,-7.646,-8.894,-8.782,-8.002,-8.608,-9.781,-0.356,-1.458
248,248,2022-03,4.093,5.337,4.21,5.621,2.698,2.833,-0.829,-1.336
249,249,2022-04,2.603,7.601,8.508,14.659,10.093,12.601,6.214,1.923
250,250,2022-05,-6.87,-8.543,-8.641,-7.591,-9.194,-9.982,-0.904,-2.081
251,251,2022-06,-4.893,-5.249,-7.151,-3.607,-2.65,-4.651,2.128,-1.651
252,252,2022-07,8.921,10.35,9.544,4.861,7.572,8.104,-2.759,1.933
253,253,2022-08,5.275,6.859,11.267,9.88,9.22,11.266,2.321,3.689
254,254,2022-09,-1.171,-1.226,-2.051,2.644,4.464,3.32,4.959,-0.102
255,255,2022-10,0.671,2.636,2.752,2.183,1.928,3.565,0.539,1.732
256,256,2022-11,1.245,5.185,7.859,0.391,2.754,2.761,-2.794,4.492
257,257,2022-12,-2.597,-0.972,2.342,3.37,0.736,2.124,2.486,1.846
258,258,2023-01,-2.233,-2.898,-1.037,-1.085,0.734,1.165,2.327,1.723
259,259,2023-02,-3.459,-4.657,-7.481,-8.141,-6.971,-7.466,-2.328,-1.673
