Month,Co_Code,Co_Name,Momentum_Label,Size_Label,BM_Label,BM,Monthly_Return,Size,Price_EOM,Momentum,OpProf_Label,Inv_Label,OpProf,Inv,Year
2012-04-01,33727,BHARAT ELECTRONICS LTD.,N,B,G,0.4811106178067689,0.9696160565963602,117124.0,1464.05,0.9651455163201355,N,N,0.319259059735201,0.08304392895581311,2012
2012-05-01,33727,BHARAT ELECTRONICS LTD.,N,B,G,0.566897384305835,0.8758369110631813,99400.0,1242.5,0.8301445954086558,N,N,0.319259059735201,0.08304392895581311,2012
2012-06-01,33727,BHARAT ELECTRONICS LTD.,N,B,G,0.5257865860485947,1.0918444498661461,107172.0,1339.65,0.8824660806402039,N,N,0.319259059735201,0.08304392895581311,2012
2012-07-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.6090097367627418,0.8835330822841043,92844.0,1160.55,0.830483228279468,N,N,0.319259059735201,0.08304392895581311,2012
2012-08-01,33727,BHARAT ELECTRONICS LTD.,N,B,G,0.5690252395137267,1.0693246384382953,99368.0,1242.1,0.8211197203457787,N,N,0.319259059735201,0.08304392895581311,2012
2012-09-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.5862040723231318,0.9886086976402984,96456.0,1205.7,0.8207920103011107,N,N,0.319259059735201,0.08304392895581311,2012
2012-10-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.5843669750947703,1.017441920806278,98132.0,1226.65,0.8798978319797212,N,A,0.1844005471387205,0.4372901443641913,2012
2012-11-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.6028204103944159,0.9694240534168361,95128.0,1189.1,0.8623139976524616,N,A,0.1844005471387205,0.4372901443641913,2012
2012-12-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.5686009508473276,1.0923949723536701,104328.0,1304.1,0.9142595577911526,N,A,0.1844005471387205,0.4372901443641913,2012
2013-01-01,33727,BHARAT ELECTRONICS LTD.,N,B,N,0.5775973771006754,0.9667362704756671,101872.0,1273.4,0.9914236201736584,N,A,0.1844005471387205,0.4372901443641913,2013
