"Date","Price","Open","High","Low","Vol.","Change %"
"01-06-2018","9,162.45","9,317.80","9,423.20","9,018.05","24.03B","-1.64%"
"01-05-2018","9,315.35","9,531.60","9,531.65","9,046.70","29.55B","-1.91%"
"01-04-2018","9,496.50","8,949.45","9,503.60","8,933.45","24.09B","6.56%"
"01-03-2018","8,912.10","9,254.40","9,297.40","8,744.50","25.06B","-3.78%"
"01-02-2018","9,261.90","9,717.30","9,764.35","8,968.50","24.75B","-4.50%"
"01-01-2018","9,697.90","9,500.20","9,895.00","9,377.30","34.85B","2.18%"
"01-12-2017","9,490.65","9,191.45","9,496.40","8,981.95","26.04B","3.67%"
"01-11-2017","9,154.50","9,203.95","9,309.65","8,949.00","27.01B","0.01%"
"01-10-2017","9,153.60","8,689.75","9,177.20","8,640.80","22.21B","6.44%"
"01-09-2017","8,600.00","8,717.05","8,976.75","8,476.30","22.50B","-1.09%"
"01-08-2017","8,694.95","8,815.25","8,832.80","8,371.20","22.00B","-1.12%"
"01-07-2017","8,793.30","8,380.00","8,817.35","8,348.40","22.99B","5.54%"
"01-06-2017","8,331.60","8,343.85","8,496.00","8,249.10","20.24B","-0.23%"
"01-05-2017","8,350.95","8,244.70","8,404.10","8,087.00","23.26B","1.66%"
"01-04-2017","8,214.30","8,028.55","8,260.35","7,983.20","18.64B","2.74%"
"01-03-2017","7,995.05","7,733.30","8,005.75","7,659.25","20.32B","3.71%"
"01-02-2017","7,709.10","7,390.55","7,762.60","7,366.90","20.14B","4.47%"
"01-01-2017","7,379.30","7,007.40","7,483.90","6,955.45","16.37B","5.68%"
"01-12-2016","6,982.80","7,099.60","7,112.25","6,711.65","12.96B","-1.36%"
"01-11-2016","7,079.40","7,525.25","7,539.10","6,751.15","17.12B","-5.63%"
"01-10-2016","7,501.45","7,443.15","7,605.65","7,371.35","13.84B","1.44%"
"01-09-2016","7,394.85","7,498.25","7,647.50","7,303.95","17.50B","-1.28%"
"01-08-2016","7,490.65","7,350.25","7,520.45","7,215.40","17.55B","2.19%"
"01-07-2016","7,330.00","7,003.90","7,357.45","7,003.90","19.63B","5.00%"
"01-06-2016","6,980.80","6,820.00","6,990.50","6,630.55","18.38B","2.60%"
"01-05-2016","6,804.00","6,569.55","6,842.65","6,463.70","15.95B","3.27%"
"01-04-2016","6,588.55","6,438.40","6,695.25","6,316.15","13.25B","2.11%"
"01-03-2016","6,452.15","5,866.65","6,468.05","5,866.65","15.22B","10.67%"
"01-02-2016","5,829.95","6,367.35","6,374.55","5,717.00","16.04B","-8.04%"
"01-01-2016","6,339.45","6,723.10","6,758.55","6,055.30","15.38B","-5.73%"
"01-12-2015","6,724.75","6,707.55","6,731.35","6,386.45","14.26B","0.58%"
"01-11-2015","6,686.10","6,747.40","6,796.35","6,487.45","12.23B","-0.96%"
"01-10-2015","6,750.95","6,685.65","6,952.00","6,640.80","14.35B","1.58%"
"01-09-2015","6,646.10","6,617.00","6,694.60","6,286.70","13.43B","-0.35%"
"01-08-2015","6,669.35","7,099.75","7,233.75","6,352.90","17.30B","-6.15%"
"01-07-2015","7,106.20","6,908.60","7,172.70","6,906.60","14.62B","3.03%"
"01-06-2015","6,897.20","6,947.70","6,980.65","6,543.55","14.65B","-0.90%"
"01-05-2015","6,959.85","6,790.80","6,988.30","6,572.70","12.66B","3.11%"
"01-04-2015","6,749.65","6,975.80","7,299.55","6,698.45","13.05B","-3.27%"
"01-03-2015","6,978.15","7,281.85","7,428.10","6,778.45","15.85B","-3.61%"
"01-02-2015","7,239.45","7,164.60","7,273.10","6,888.05","17.28B","1.02%"
"01-01-2015","7,166.70","6,767.60","7,293.25","6,605.40","15.54B","5.80%"
"01-12-2014","6,773.65","6,931.50","6,995.70","6,410.35","14.58B","-2.09%"
"01-11-2014","6,918.05","6,705.25","6,944.05","6,676.80","13.80B","3.47%"
"01-10-2014","6,685.75","6,413.20","6,689.55","6,204.00","11.32B","4.21%"
"01-09-2014","6,415.70","6,388.10","6,603.50","6,286.50","17.57B","0.86%"
"01-08-2014","6,360.75","6,146.55","6,391.30","6,051.35","12.74B","2.68%"
"01-07-2014","6,194.45","6,192.00","6,336.45","5,958.90","17.95B","0.33%"
"01-06-2014","6,174.20","5,829.10","6,234.25","5,818.30","22.44B","6.40%"
"01-05-2014","5,802.85","5,271.05","6,035.15","5,222.40","23.38B","10.41%"
"01-04-2014","5,255.65","5,244.15","5,377.95","5,198.50","13.97B","0.59%"
