"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2016","10,474.15","10,291.69","10,647.74","10,069.36","","1.44%"
"01-03-2016","10,325.50","9,617.51","10,325.50","9,617.51","","10.98%"
"01-02-2016","9,304.26","10,058.69","10,058.69","9,282.38","","-7.59%"
"01-01-2016","10,068.86","10,598.00","10,598.00","9,685.29","","-4.79%"
"01-12-2015","10,575.63","10,586.99","10,586.99","10,128.57","","0.14%"
"01-11-2015","10,560.84","10,712.32","10,725.48","10,290.03","","-1.60%"
"01-10-2015","10,732.25","10,568.94","11,036.44","10,568.94","","1.57%"
"01-09-2015","10,566.29","10,346.16","10,609.87","10,047.15","","-0.21%"
"01-08-2015","10,588.80","11,342.11","11,402.67","10,348.40","","-6.53%"
"01-07-2015","11,328.56","11,197.83","11,459.27","11,043.14","","2.19%"
"01-06-2015","11,085.87","11,136.64","11,136.64","10,539.53","","-0.45%"
"01-05-2015","11,135.85","10,992.81","11,166.12","10,630.43","","3.16%"
"01-04-2015","10,794.27","11,327.63","11,654.49","10,794.27","","-3.64%"
"01-03-2015","11,201.99","11,796.73","11,856.58","11,004.63","","-4.45%"
"01-02-2015","11,723.28","11,583.49","11,723.28","11,227.70","","1.07%"
"01-01-2015","11,598.64","10,905.87","11,787.53","10,666.38","","6.37%"
"01-12-2014","10,904.18","11,261.08","11,272.28","10,571.25","","-3.53%"
"01-11-2014","11,303.65","10,955.32","11,303.65","10,955.32","","3.21%"
"01-10-2014","10,952.14","10,449.70","10,952.14","10,194.41","","4.55%"
"01-09-2014","10,475.04","10,553.26","10,748.49","10,405.39","","0.17%"
"01-08-2014","10,456.85","9,984.48","10,456.85","9,942.03","","3.12%"
"01-07-2014","10,140.34","9,996.74","10,275.33","9,776.46","","1.75%"
"01-06-2014","9,966.14","9,610.85","10,019.94","9,610.85","","5.60%"
"01-05-2014","9,437.81","8,727.93","9,609.25","8,672.88","","8.11%"
"01-04-2014","8,730.05","8,761.86","8,918.30","8,702.22","","-0.11%"
"01-03-2014","8,739.91","8,105.73","8,739.91","8,105.73","","6.87%"
"01-02-2014","8,178.01","7,816.09","8,178.01","7,814.96","","3.12%"
"01-01-2014","7,930.34","8,201.82","8,260.68","7,907.25","","-3.35%"
"01-12-2013","8,204.85","8,089.61","8,279.62","7,989.69","","2.11%"
"01-11-2013","8,035.27","8,204.56","8,217.74","7,792.65","","-1.94%"
"01-10-2013","8,194.06","7,512.98","8,194.06","7,512.98","","9.92%"
"01-09-2013","7,454.82","7,206.03","7,949.11","6,936.07","","4.94%"
"01-08-2013","7,103.56","7,431.15","7,454.14","6,860.50","","-4.64%"
"01-07-2013","7,449.52","7,636.62","7,881.06","7,449.52","","-1.50%"
"01-06-2013","7,563.28","7,673.77","7,673.77","7,229.08","","-2.21%"
"01-05-2013","7,734.03","7,723.29","7,969.96","7,652.03","","1.31%"
"01-04-2013","7,634.29","7,343.48","7,634.29","7,073.99","","4.36%"
"01-03-2013","7,315.35","7,358.52","7,649.23","7,252.66","","-0.10%"
"01-02-2013","7,322.68","7,713.77","7,713.77","7,322.68","","-5.63%"
"01-01-2013","7,759.87","7,650.82","7,820.19","7,650.82","","2.21%"
"01-12-2012","7,591.99","7,545.33","7,622.38","7,515.43","","0.47%"
"01-11-2012","7,556.73","7,254.29","7,556.73","7,160.33","","4.70%"
"01-10-2012","7,217.67","7,341.48","7,429.84","7,189.16","","-1.42%"
"01-09-2012","7,321.57","6,741.21","7,321.57","6,705.82","","8.51%"
"01-08-2012","6,747.30","6,716.34","6,954.13","6,670.18","","0.69%"
"01-07-2012","6,700.96","6,752.48","6,841.21","6,462.24","","-0.77%"
"01-06-2012","6,752.88","6,170.10","6,752.88","6,170.10","","7.61%"
"01-05-2012","6,275.40","6,656.95","6,656.95","6,144.23","","-5.89%"
"01-04-2012","6,668.40","6,756.86","6,808.45","6,593.23","","-0.89%"
"01-03-2012","6,728.46","6,780.64","6,939.53","6,580.17","","-1.61%"
"01-02-2012","6,838.32","6,647.46","7,120.15","6,647.46","","3.60%"
"01-01-2012","6,600.95","5,881.28","6,606.36","5,881.28","","12.54%"
"01-12-2011","5,865.49","6,261.88","6,421.38","5,763.88","","-4.30%"
"01-11-2011","6,128.97","6,668.03","6,708.99","5,969.67","","-9.27%"
"01-10-2011","6,755.07","6,146.41","6,797.88","6,021.97","","7.82%"
"01-09-2011","6,265.26","6,384.31","6,529.77","6,128.56","","-1.09%"
"01-08-2011","6,334.48","6,978.58","6,978.58","6,013.78","","-8.65%"
"01-07-2011","6,934.57","7,108.11","7,239.36","6,934.57","","-2.79%"
"01-06-2011","7,133.60","7,037.13","7,133.60","6,634.54","","1.95%"
"01-05-2011","6,997.07","7,163.96","7,163.96","6,775.36","","-3.15%"
"01-04-2011","7,224.51","7,318.19","7,425.52","7,196.40","","-1.41%"
"01-03-2011","7,327.83","6,933.43","7,327.83","6,738.10","","9.43%"
"01-02-2011","6,696.09","6,799.42","6,963.79","6,560.54","","-3.11%"
"01-01-2011","6,910.76","7,727.31","7,727.31","6,910.76","","-10.23%"
"01-12-2010","7,698.29","7,467.57","7,698.29","7,232.70","","4.69%"
"01-11-2010","7,353.36","7,673.05","7,917.48","7,214.47","","-2.56%"
"01-10-2010","7,546.40","7,697.13","7,810.52","7,495.03","","-0.11%"
"01-09-2010","7,554.94","6,762.76","7,562.13","6,762.76","","11.71%"
"01-08-2010","6,762.76","6,792.23","6,937.50","6,762.76","","0.75%"
"01-07-2010","6,712.14","6,560.61","6,812.99","6,541.23","","1.13%"
"01-06-2010","6,636.89","6,186.03","6,684.61","6,186.03","","4.84%"
"01-05-2010","6,330.54","6,491.43","6,491.43","5,980.08","","-3.50%"
"01-04-2010","6,559.98","6,572.99","6,669.82","6,467.49","","0.59%"
"01-03-2010","6,521.55","6,231.89","6,588.34","6,231.89","","8.03%"
"01-02-2010","6,036.57","6,083.89","6,123.81","5,860.40","","-0.41%"
"01-01-2010","6,061.68","6,495.62","6,557.20","6,025.64","","-6.12%"
"01-12-2009","6,456.97","6,356.30","6,456.97","6,146.13","","3.39%"
"01-11-2009","6,245.49","5,662.60","6,339.11","5,662.60","","6.83%"
"01-10-2009","5,846.03","6,301.54","6,379.50","5,846.03","","-7.24%"
"01-09-2009","6,302.19","5,729.90","6,302.19","5,690.74","","9.13%"
"01-08-2009","5,774.96","5,830.35","5,861.96","5,430.95","","0.66%"
"01-07-2009","5,737.09","5,358.01","5,737.09","4,914.79","","8.32%"
"01-06-2009","5,296.58","5,579.85","5,739.53","5,226.95","","-3.35%"
"01-05-2009","5,480.11","4,500.26","5,480.11","4,377.93","","28.08%"
"01-04-2009","4,278.54","3,769.02","4,290.96","3,769.02","","15.00%"
"01-03-2009","3,720.51","3,293.68","3,828.51","3,173.11","","9.32%"
"01-02-2009","3,403.33","3,405.45","3,629.83","3,366.73","","-3.82%"
"01-01-2009","3,538.57","3,727.18","3,835.29","3,291.24","","-2.68%"
"01-12-2008","3,635.87","3,290.95","3,775.02","3,258.54","","7.59%"
"01-11-2008","3,379.53","3,733.72","3,861.78","3,131.78","","-4.52%"
"01-10-2008","3,539.57","4,843.43","4,843.43","3,095.74","","-26.37%"
"01-09-2008","4,807.20","5,324.55","5,514.77","4,719.95","","-9.93%"
"01-08-2008","5,337.28","5,396.00","5,650.57","5,158.55","","0.75%"
"01-07-2008","5,297.47","4,754.56","5,471.01","4,661.66","","7.45%"
"01-06-2008","4,929.98","5,778.70","5,778.70","4,929.98","","-16.97%"
"01-05-2008","5,937.81","6,364.89","6,364.89","5,895.41","","-5.59%"
"01-04-2008","6,289.07","5,769.05","6,325.09","5,656.40","","9.13%"
"01-03-2008","5,762.88","6,027.69","6,027.69","5,517.59","","-9.34%"
"01-02-2008","6,356.92","6,465.46","6,465.46","5,886.53","","1.78%"
"01-01-2008","6,245.45","7,468.49","7,642.89","5,955.22","","-16.30%"
"01-12-2007","7,461.48","7,121.74","7,479.08","7,014.87","","6.63%"
"01-11-2007","6,997.60","7,121.96","7,209.99","6,701.81","","-2.31%"
"01-10-2007","7,163.30","6,151.88","7,169.67","6,151.88","","17.54%"
"01-09-2007","6,094.11","5,454.74","6,094.11","5,454.74","","12.62%"
"01-08-2007","5,411.29","5,411.29","5,411.29","5,411.29","","-1.31%"
"01-07-2007","5,483.25","5,483.25","5,483.25","5,483.25","","4.97%"
"01-06-2007","5,223.82","5,223.82","5,223.82","5,223.82","","0.73%"
"01-05-2007","5,185.95","5,185.95","5,185.95","5,185.95","","5.10%"
"01-04-2007","4,934.46","4,934.46","4,934.46","4,934.46","","7.13%"
"01-03-2007","4,605.89","4,605.89","4,605.89","4,605.89","","2.25%"
"01-02-2007","4,504.73","4,504.73","4,504.73","4,504.73","","-8.06%"
"01-01-2007","4,899.39","4,899.39","4,899.39","4,899.39","","2.96%"
"01-12-2006","4,758.45","4,758.45","4,758.45","4,758.45","","0.62%"
"01-11-2006","4,729.13","4,729.13","4,729.13","4,729.13","","5.64%"
"01-10-2006","4,476.50","4,476.50","4,476.50","4,476.50","","4.37%"
"01-09-2006","4,288.97","4,288.97","4,288.97","4,288.97","","5.29%"
"01-08-2006","4,073.55","4,073.55","4,073.55","4,073.55","","8.76%"
"01-07-2006","3,745.46","3,745.46","3,745.46","3,745.46","","0.64%"
"01-06-2006","3,721.71","3,721.71","3,721.71","3,721.71","","2.18%"
"01-05-2006","3,642.31","3,642.31","3,642.31","3,642.31","","-13.56%"
"01-04-2006","4,213.88","4,213.88","4,213.88","4,213.88","","4.59%"
"01-03-2006","4,028.82","4,028.82","4,028.82","4,028.82","","10.70%"
"01-02-2006","3,639.43","3,639.43","3,639.43","3,639.43","","2.52%"
"01-01-2006","3,549.92","3,549.92","3,549.92","3,549.92","","5.86%"
"01-12-2005","3,353.37","3,353.37","3,353.37","3,353.37","","7.21%"
"01-11-2005","3,127.80","3,127.80","3,127.80","3,127.80","","11.87%"
"01-10-2005","2,795.89","2,795.89","2,795.89","2,795.89","","-8.81%"
"01-09-2005","3,066.15","3,066.15","3,066.15","3,066.15","","9.43%"
"01-08-2005","2,801.99","2,801.99","2,801.99","2,801.99","","3.35%"
"01-07-2005","2,711.24","2,711.24","2,711.24","2,711.24","","4.28%"
"01-06-2005","2,599.93","2,599.93","2,599.93","2,599.93","","6.83%"
"01-05-2005","2,433.73","2,433.73","2,433.73","2,433.73","","9.88%"
"01-04-2005","2,214.96","2,214.96","2,214.96","2,214.96","","-6.53%"
"01-03-2005","2,369.69","2,369.69","2,369.69","2,369.69","","-3.20%"
"01-02-2005","2,447.94","2,447.94","2,447.94","2,447.94","","2.26%"
"01-01-2005","2,393.76","2,393.76","2,393.76","2,393.76","","-1.04%"
"01-12-2004","2,418.88","2,418.88","2,418.88","2,418.88","","6.61%"
"01-11-2004","2,268.99","2,268.99","2,268.99","2,268.99","","9.65%"
"01-10-2004","2,069.39","2,069.39","2,069.39","2,069.39","","2.41%"
"01-09-2004","2,020.62","2,020.62","2,020.62","2,020.62","","7.36%"
"01-08-2004","1,882.09","1,882.09","1,882.09","1,882.09","","0.18%"
"01-07-2004","1,878.62","1,878.62","1,878.62","1,878.62","","8.72%"
"01-06-2004","1,727.93","1,727.93","1,727.93","1,727.93","","1.75%"
"01-05-2004","1,698.16","1,698.16","1,698.16","1,698.16","","-17.09%"
"01-04-2004","2,048.22","2,048.22","2,048.22","2,048.22","","1.38%"
"01-03-2004","2,020.25","2,020.25","2,020.25","2,020.25","","-1.57%"
"01-02-2004","2,052.40","2,052.40","2,052.40","2,052.40","","-0.49%"
"01-01-2004","2,062.42","2,062.42","2,062.42","2,062.42","","-3.62%"
"01-12-2003","2,139.93","2,139.93","2,139.93","2,139.93","","16.43%"
"01-11-2003","1,837.98","1,837.98","1,837.98","1,837.98","","3.84%"
"01-10-2003","1,770.08","1,770.08","1,770.08","1,770.08","","9.93%"
"01-09-2003","1,610.21","1,610.21","1,610.21","1,610.21","","4.69%"
"01-08-2003","1,538.08","1,538.08","1,538.08","1,538.08","","14.97%"
"01-07-2003","1,337.86","1,337.86","1,337.86","1,337.86","","5.16%"
"01-06-2003","1,272.21","1,272.21","1,272.21","1,272.21","","13.36%"
"01-05-2003","1,122.32","1,122.32","1,122.32","1,122.32","","8.12%"
"01-04-2003","1,038.00","1,038.00","1,038.00","1,038.00","","-4.30%"
"01-03-2003","1,084.64","1,084.64","1,084.64","1,084.64","","-7.98%"
"01-02-2003","1,178.72","1,178.72","1,178.72","1,178.72","","2.08%"
"01-01-2003","1,154.67","1,154.67","1,154.67","1,154.67","","-4.70%"
"01-12-2002","1,211.66","1,211.66","1,211.66","1,211.66","","4.19%"
"01-11-2002","1,162.91","1,162.91","1,162.91","1,162.91","","10.39%"
"01-10-2002","1,053.44","1,053.44","1,053.44","1,053.44","","-0.99%"
"01-09-2002","1,063.92","1,063.92","1,063.92","1,063.92","","-4.58%"
"01-08-2002","1,115.02","1,115.02","1,115.02","1,115.02","","5.75%"
"01-07-2002","1,054.40","1,054.40","1,054.40","1,054.40","","-8.78%"
"01-06-2002","1,155.86","1,155.86","1,155.86","1,155.86","","2.94%"
"01-05-2002","1,122.86","1,122.86","1,122.86","1,122.86","","-4.99%"
"01-04-2002","1,181.82","1,181.82","1,181.82","1,181.82","","-3.83%"
"01-03-2002","1,228.95","1,228.95","1,228.95","1,228.95","","-1.09%"
"01-02-2002","1,242.55","1,242.55","1,242.55","1,242.55","","6.37%"
"01-01-2002","1,168.10","1,168.10","1,168.10","1,168.10","","1.55%"
"01-12-2001","1,150.28","1,150.28","1,150.28","1,150.28","","-0.76%"
"01-11-2001","1,159.08","1,159.08","1,159.08","1,159.08","","9.82%"
"01-10-2001","1,055.47","1,055.47","1,055.47","1,055.47","","6.42%"
"01-09-2001","991.77","991.77","991.77","991.77","","-13.12%"
"01-08-2001","1,141.48","1,141.48","1,141.48","1,141.48","","-1.57%"
"01-07-2001","1,159.68","1,159.68","1,159.68","1,159.68","","-2.86%"
"01-06-2001","1,193.80","1,193.80","1,193.80","1,193.80","","-5.00%"
"01-05-2001","1,256.58","1,256.58","1,256.58","1,256.58","","4.05%"
"01-04-2001","1,207.72","1,207.72","1,207.72","1,207.72","","-1.85%"
"01-03-2001","1,230.49","1,230.49","1,230.49","1,230.49","","-15.04%"
"01-02-2001","1,448.26","1,448.26","1,448.26","1,448.26","","-1.48%"
"01-01-2001","1,470.01","1,470.01","1,470.01","1,470.01","","8.56%"
