Month,BG,BN,BV,SG,SN,SV,n_BG,n_BN,n_BV,n_SG,n_SN,n_SV,SMB,HML
2010-01,-0.04118056073399191,-0.0460114497436249,-0.03632854383924998,0.0044205055779806815,-0.00576574559769693,-0.014331421088739285,141.0,53.0,12.0,351.0,628.0,494.0,0.035947964402803755,-0.0069499548859890195
2010-02,-0.008451961187690272,-0.0005190214082965591,0.021080163198607133,-0.016709365144478096,-0.02886559007850198,-0.023803794334770766,141.0,53.0,12.0,350.0,627.0,494.0,-0.02716264338679038,0.011218847598002367
2010-03,0.03852726288034554,0.05689681234363449,0.07706505155731776,0.05860560382860334,0.05986508304639262,0.06483286779666037,141.0,53.0,12.0,350.0,626.0,494.0,0.0036048092967861795,0.022382526322514622
2010-04,0.005409017854551017,0.03266146547395478,0.040851590626158056,0.046769665526613255,0.08646665155484985,0.1029120602955594,141.0,53.0,12.0,350.0,625.0,494.0,0.052408767807452884,0.04579248377027659
2010-05,-0.032041360804247694,-0.05479086998655517,-0.10826443844639679,-0.043696224729048064,-0.06701524857728547,-0.07912964970920276,141.0,53.0,12.0,348.0,625.0,494.0,0.0017518487405544514,-0.05582825131115189
2010-06,0.04583394484196313,0.06152114345577825,0.01571037707104837,0.0753126236363067,0.05787324292236219,0.05231756649577499,141.0,53.0,12.0,348.0,625.0,494.0,0.020812655895218045,-0.02655931245572323
2010-07,0.01890082828209987,0.024230656457183693,0.09911332095638305,0.030988717434176673,0.03678175845549735,0.05125189325592746,141.0,53.0,12.0,347.0,625.0,494.0,-0.007740812183355042,0.050237834248016984
2010-08,-0.005100796721579757,0.05319147095426201,0.05873493383592755,0.027408553342200145,0.01838032862645601,0.040283257491367075,141.0,53.0,12.0,345.0,624.0,494.0,-0.006917822869528856,0.03835521735333712
2010-09,0.08733427121474133,0.10497247306068179,0.1430274857060335,0.08474927560475422,0.06439713124590238,0.08035013273319336,141.0,53.0,12.0,345.0,623.0,493.0,-0.035279230132535554,0.025647035809865652
2010-10,-0.002820932074669867,0.012675155054295022,0.06878864570529224,-0.0010464291896123586,0.03317122039505149,0.09812280606273388,136.0,38.0,6.0,399.0,682.0,463.0,0.017201576194418543,0.08538940651615418
2010-11,-0.04314142933135001,-0.05795774792517356,-0.1567327603399392,-0.0685249802997326,-0.09153867074480242,-0.10344373942220543,136.0,38.0,6.0,399.0,682.0,463.0,-0.0018918176234258958,-0.074255045065531
2010-12,0.04044746824482487,-0.010469585121395866,0.01615432619537047,0.019230045616243426,0.008404006748980427,0.008865001619861392,135.0,38.0,6.0,399.0,681.0,463.0,-0.0032110517779047423,-0.017329093022918216
2011-01,-0.09997082319817936,-0.07282237801472041,-0.12692605294040235,-0.11767332181284915,-0.12420011682370924,-0.12097509746615198,135.0,38.0,6.0,399.0,680.0,461.0,-0.021043093983136082,-0.015128502697762912
2011-02,-0.036225387050598946,-0.03824222010480792,-0.17400326336391012,-0.05754695565925466,-0.07716212137141834,-0.08261308325465956,135.0,38.0,6.0,399.0,680.0,460.0,0.010382903411328139,-0.08142200195435803
2011-03,0.08417945844731113,0.08131499647891645,0.1508634636474626,0.0817727168726314,0.06713126910127491,0.046049864995802374,135.0,38.0,6.0,399.0,679.0,461.0,-0.04046802253466049,0.015480576661661211
2011-04,-0.0030100722086414534,-0.00405326616516776,-0.013507150825643173,0.038975966035281064,0.0523471352038767,0.09010215324206125,135.0,38.0,6.0,398.0,678.0,461.0,0.0673319145602238,0.020314554294889233
2011-05,-0.018198229525057563,-0.06808634105670551,-0.03236493180422233,-0.03644833983046107,-0.044417924591569374,-0.04639702435317237,135.0,38.0,6.0,398.0,678.0,461.0,-0.0028712621297391377,-0.01205769340093803
2011-06,0.006191190315579587,-5.542563535322109e-05,0.04347104280760429,0.006850279367900819,-0.01632210412620701,-0.009380994571721712,135.0,38.0,6.0,396.0,678.0,461.0,-0.02281987560595285,0.010524289276201085
2011-07,-0.026315204922472055,-0.025303351758803487,-0.006033409989281151,0.027260079926000956,0.028043068403975784,0.01814558720316027,135.0,38.0,6.0,396.0,677.0,460.0,0.04370023406789791,0.00558365110517511
2011-08,-0.07561714724335111,-0.11921383143919302,-0.17761107572039178,-0.08199132495574762,-0.10041064064557757,-0.12636085814584125,135.0,38.0,6.0,396.0,677.0,460.0,0.021226410218589824,-0.07318173083356715
2011-09,-0.009139298181534727,-0.012135783662732274,-0.08848456713442052,-0.0033972106926057487,-0.00927557457105929,-0.0026871813972923464,135.0,38.0,6.0,395.0,676.0,460.0,0.03146656077257671,-0.0393176198287862
2011-10,0.05609968387295526,0.028499111381705317,0.0415585168259247,0.018246991942996234,0.02065041742167358,0.02887478485656625,155.0,59.0,6.0,418.0,737.0,604.0,-0.019461705953116405,-0.0019566870667302727
2011-11,-0.08829917327776013,-0.1067467336527712,-0.09619419360027164,-0.1156366431685003,-0.1267608240819045,-0.14243961424386264,155.0,59.0,6.0,417.0,737.0,603.0,-0.031198993654488163,-0.017348995698936928
2011-12,-0.046150996583902086,-0.09927725452118989,-0.05205888284427206,-0.08261433555128025,-0.09831001930444333,-0.09047844902151145,155.0,59.0,6.0,417.0,737.0,603.0,-0.024638556642623665,-0.006885999865300585
2012-01,0.12363385431578612,0.2128280321157772,0.2856405319956133,0.1349965652672492,0.1767015881229355,0.20866986343062008,155.0,59.0,6.0,417.0,737.0,604.0,-0.03391146720212394,0.11783998792159903
2012-02,0.0432712930239198,0.07495404977321926,0.04000244291155248,0.07352217972026653,0.0892689596606233,0.06542515122172428,155.0,59.0,6.0,417.0,737.0,603.0,0.023329501631307526,-0.005682939305454788
2012-03,-0.02199127330429123,-0.03978093430436859,-0.07339018382411883,-0.0048303770097447634,-0.023395462017592357,-0.04561124267234067,155.0,59.0,6.0,417.0,737.0,603.0,0.02044176991103362,-0.046089888091211756
2012-04,-0.0074501367556137205,-0.03702525045002793,-0.05254278905151916,0.025927401071913554,-0.0059606743862706205,-0.006954857760607426,154.0,59.0,6.0,417.0,735.0,602.0,0.036676681727398776,-0.03898745556421321
2012-05,-0.057002708408671734,-0.07041624043025106,-0.08494047022339112,-0.06655215346437934,-0.06973757241640656,-0.09205446050340865,153.0,59.0,6.0,415.0,735.0,599.0,-0.005328255773960215,-0.026720034426874345
2012-06,0.0635117428879785,0.06574361135853779,0.07234189736924708,0.0355004955346571,0.045677111220490146,0.04435744867427323,152.0,58.0,6.0,415.0,734.0,598.0,-0.02535406539544763,0.00884355381044235
2012-07,-0.009015145166844703,-0.027358556393629677,-0.046867387834493145,-0.011781815597888561,-0.016787059424814038,-0.021459397698733427,152.0,58.0,6.0,415.0,735.0,599.0,0.011070938891177167,-0.023764912384246654
2012-08,0.009675645247903344,-0.06242853530606434,-0.08494061008714351,0.015553374962582644,-0.017430382684377566,-0.012428252474693355,152.0,58.0,6.0,414.0,733.0,598.0,0.041129413316272075,-0.06129894138616143
